date,signal_time,direction,option_type,broken_level,breakout_time,breakout_price,reversal_price,speed_candles,confluence_score,nearby_levels,volume_ok,conviction,strike_hint,nifty_spot,trend_dir,trend_strength,adx,rev_quality,rev_metrics,day_structure,struct_metrics,trigger_type
2026-04-28,2026-04-28 14:30:00,long,CE,23936.2,2026-04-28 14:30:00,23936.2,24008.85,5,9,PDL@23936.2,True,HIGH,ATM (delta ~0.5),24008.85,neutral,weak,16.75,type_B_swing,"{'tested': 'PDL', 'hl_diff': np.float64(11.349609375)}",structure_reversed_HL_confirmed,"{'ll_run': 0, 'has_higher_low': True, 'retrace_pct': np.float64(0.252), 'recent_low': np.float64(23961.6), 'bounce_size': np.float64(47.25), 'n_swings_low': 5}",swing_low_reclaim
2026-04-29,2026-04-29 13:35:00,short,PE,24298.85,2026-04-29 12:10:00,24311.15,24285.0,17,5,,True,MEDIUM,ATM,24285.0,bearish,strong,48.37,strong_reversal,"{'lh_ratio': 0.83, 'hl_ratio': 0.17, 'drop_points': np.float64(49.2), 'drop_pct': np.float64(0.202), 'avg_range': np.float64(18.69), 'peak': np.float64(24334.2)}",strong_pullback(54%),"{'hh_run': 2, 'has_lower_high': False, 'retrace_pct': np.float64(0.541), 'recent_high': np.float64(24334.2), 'pullback': np.float64(49.2), 'n_swings_high': 4}",failed_breakout
2026-04-30,2026-04-30 10:25:00,long,CE,23824.9,2026-04-30 10:15:00,23800.85,23827.6,2,8,PWL@23813.7,True,HIGH,ATM (delta ~0.5),23827.6,neutral,weak,0.0,strong_reversal,"{'hh_ratio': 0.5, 'lh_ratio': 0.5, 'rise_points': np.float64(26.75), 'rise_pct': np.float64(0.112), 'avg_range': np.float64(30.7), 'trough': np.float64(23800.85)}",structure_ok,"{'ll_run': 0, 'has_higher_low': False, 'retrace_pct': np.float64(0.131), 'recent_low': np.float64(23800.85), 'bounce_size': np.float64(26.75), 'n_swings_low': 1}",failed_breakout
2026-04-30,2026-04-30 12:05:00,long,CE,23813.65,2026-04-30 12:05:00,23813.65,23868.3,5,8,PWL@23813.7,True,HIGH,ATM (delta ~0.5),23868.3,bullish,strong,29.19,type_B_swing,"{'tested': 'PWL', 'hl_diff': np.float64(29.25)}",structure_reversed_HL_confirmed,"{'ll_run': 0, 'has_higher_low': True, 'retrace_pct': np.float64(0.341), 'recent_low': np.float64(23797.05), 'bounce_size': np.float64(71.25), 'n_swings_low': 4}",swing_low_reclaim
2026-05-05,2026-05-05 10:45:00,long,CE,23939.0,2026-05-05 10:35:00,23922.9,23947.0,2,5,,True,MEDIUM,ATM,23947.0,bearish,weak,17.46,strong_reversal,"{'hh_ratio': 0.5, 'lh_ratio': 0.5, 'rise_points': np.float64(24.1), 'rise_pct': np.float64(0.101), 'avg_range': np.float64(18.2), 'trough': np.float64(23922.9)}",structure_ok,"{'ll_run': 0, 'has_higher_low': False, 'retrace_pct': np.float64(0.164), 'recent_low': np.float64(23922.9), 'bounce_size': np.float64(24.1), 'n_swings_low': 0}",failed_breakout
2026-05-05,2026-05-05 12:05:00,long,CE,23915.25,2026-05-05 11:45:00,23892.4,23919.6,4,5,,True,MEDIUM,ATM,23919.6,neutral,moderate,23.16,strong_reversal,"{'hh_ratio': 1.0, 'lh_ratio': 0.0, 'rise_points': np.float64(36.1), 'rise_pct': np.float64(0.151), 'avg_range': np.float64(19.98), 'trough': np.float64(23883.5)}",structure_ok,"{'ll_run': 0, 'has_higher_low': False, 'retrace_pct': np.float64(0.193), 'recent_low': np.float64(23883.5), 'bounce_size': np.float64(36.1), 'n_swings_low': 1}",failed_breakout
2026-05-05,2026-05-05 12:45:00,long,CE,23883.5,2026-05-05 12:45:00,23883.5,23978.1,5,5,,True,MEDIUM,ATM,23978.1,bullish,weak,15.4,type_B_swing,"{'tested': 'TDL', 'hl_diff': np.float64(50.30078125)}",structure_reversed_HL_confirmed,"{'ll_run': 0, 'has_higher_low': True, 'retrace_pct': np.float64(0.534), 'recent_low': np.float64(23883.5), 'bounce_size': np.float64(94.6), 'n_swings_low': 3}",swing_low_reclaim
2026-05-05,2026-05-05 14:00:00,short,PE,24080.95,2026-05-05 14:00:00,24080.95,24029.15,5,5,,True,MEDIUM,ATM,24029.15,neutral,strong,57.75,type_B_swing,"{'tested': 'TDH', 'hl_diff': np.float64(18.798828125)}",structure_reversed_LH_confirmed,"{'hh_run': 0, 'has_lower_high': True, 'retrace_pct': np.float64(0.262), 'recent_high': np.float64(24080.95), 'pullback': np.float64(51.8), 'n_swings_high': 5}",swing_high_rejection
2026-05-06,2026-05-06 13:15:00,long,CE,24061.8,2026-05-06 12:20:00,24030.5,24063.45,11,9,PDH@24081.7,True,MEDIUM,ATM,24063.45,neutral,strong,64.3,strong_reversal,"{'hh_ratio': 0.8, 'lh_ratio': 0.2, 'rise_points': np.float64(64.45), 'rise_pct': np.float64(0.269), 'avg_range': np.float64(24.57), 'trough': np.float64(23999.0)}",strong_bounce(41%),"{'ll_run': 3, 'has_higher_low': False, 'retrace_pct': np.float64(0.412), 'recent_low': np.float64(23999.0), 'bounce_size': np.float64(64.45), 'n_swings_low': 4}",failed_breakout
2026-05-08,2026-05-08 12:05:00,short,PE,24253.45,2026-05-08 12:05:00,24253.45,24178.95,5,9,PDL@24284.0,True,HIGH,ATM (delta ~0.5),24178.95,bearish,moderate,19.98,type_B_swing,"{'tested': 'TDH', 'hl_diff': np.float64(28.701171875)}",structure_reversed_LH_confirmed,"{'hh_run': 0, 'has_lower_high': True, 'retrace_pct': np.float64(0.651), 'recent_high': np.float64(24253.45), 'pullback': np.float64(74.5), 'n_swings_high': 3}",swing_high_rejection
2026-05-11,2026-05-11 12:20:00,long,CE,23882.05,2026-05-11 12:20:00,23882.05,23942.5,5,8,PWL@23882.1,True,HIGH,ATM (delta ~0.5),23942.5,bullish,strong,45.1,type_B_swing,"{'tested': 'PWL', 'hl_diff': np.float64(13.05078125)}",structure_reversed_HL_confirmed,"{'ll_run': 0, 'has_higher_low': True, 'retrace_pct': np.float64(0.745), 'recent_low': np.float64(23845.45), 'bounce_size': np.float64(97.05), 'n_swings_low': 4}",swing_low_reclaim
2026-05-11,2026-05-11 14:55:00,short,PE,23997.0,2026-05-11 14:55:00,23997.0,23875.9,5,5,,True,MEDIUM,ATM,23875.9,bearish,moderate,22.83,type_B_swing,"{'tested': 'TDH', 'hl_diff': np.float64(39.150390625)}",structure_reversed_LH_confirmed,"{'hh_run': 0, 'has_lower_high': True, 'retrace_pct': np.float64(1.0), 'recent_high': np.float64(23997.0), 'pullback': np.float64(121.1), 'n_swings_high': 4}",swing_high_rejection
2026-05-15,2026-05-15 13:35:00,short,PE,23777.2,2026-05-15 13:35:00,23777.2,23740.1,5,9,PDH@23777.2,True,HIGH,ATM (delta ~0.5),23740.1,neutral,strong,26.58,type_B_swing,"{'tested': 'PDH', 'hl_diff': np.float64(9.69921875)}",structure_reversed_LH_confirmed,"{'hh_run': 0, 'has_lower_high': True, 'retrace_pct': np.float64(0.613), 'recent_high': np.float64(23838.95), 'pullback': np.float64(98.85), 'n_swings_high': 4}",swing_high_rejection
2026-05-19,2026-05-19 12:55:00,short,PE,23782.2,2026-05-19 12:55:00,23782.2,23723.7,5,5,,True,MEDIUM,ATM,23723.7,bearish,weak,16.57,type_B_swing,"{'tested': 'TDH', 'hl_diff': np.float64(17.25)}",structure_reversed_LH_confirmed,"{'hh_run': 0, 'has_lower_high': True, 'retrace_pct': np.float64(0.559), 'recent_high': np.float64(23782.2), 'pullback': np.float64(58.5), 'n_swings_high': 4}",swing_high_rejection
2026-05-20,2026-05-20 10:40:00,short,PE,23548.5,2026-05-20 10:30:00,23567.2,23532.75,2,9,PDL@23587.2,True,HIGH,ATM (delta ~0.5),23532.75,bullish,weak,10.84,strong_reversal,"{'lh_ratio': 1.0, 'hl_ratio': 0.0, 'drop_points': np.float64(43.3), 'drop_pct': np.float64(0.184), 'avg_range': np.float64(24.28), 'peak': np.float64(23576.05)}",structure_ok,"{'hh_run': 0, 'has_lower_high': False, 'retrace_pct': np.float64(0.251), 'recent_high': np.float64(23576.05), 'pullback': np.float64(43.3), 'n_swings_high': 1}",failed_breakout
2026-05-20,2026-05-20 14:20:00,long,CE,23587.2,2026-05-20 14:20:00,23587.2,23673.6,5,9,PDL@23587.2,True,HIGH,ATM (delta ~0.5),23673.6,bullish,weak,17.71,type_B_swing,"{'tested': 'PDL', 'hl_diff': np.float64(26.701171875)}",structure_reversed_HL_confirmed,"{'ll_run': 0, 'has_higher_low': True, 'retrace_pct': np.float64(0.956), 'recent_low': np.float64(23558.3), 'bounce_size': np.float64(115.3), 'n_swings_low': 3}",swing_low_reclaim
2026-05-21,2026-05-21 13:55:00,long,CE,23596.85,2026-05-21 13:55:00,23596.85,23673.3,5,5,,True,MEDIUM,ATM,23673.3,bullish,strong,46.84,type_B_swing,"{'tested': 'TDL', 'hl_diff': np.float64(25.900390625)}",structure_reversed_HL_confirmed,"{'ll_run': 0, 'has_higher_low': True, 'retrace_pct': np.float64(0.431), 'recent_low': np.float64(23596.85), 'bounce_size': np.float64(76.45), 'n_swings_low': 4}",swing_low_reclaim
2026-05-21,2026-05-21 14:30:00,long,CE,23596.85,2026-05-21 14:30:00,23596.85,23663.6,5,5,,True,MEDIUM,ATM,23663.6,bullish,strong,28.07,type_B_swing,"{'tested': 'TDL', 'hl_diff': np.float64(15.349609375)}",structure_reversed_HL_confirmed,"{'ll_run': 0, 'has_higher_low': True, 'retrace_pct': np.float64(0.446), 'recent_low': np.float64(23596.85), 'bounce_size': np.float64(66.75), 'n_swings_low': 4}",swing_low_reclaim
2026-05-26,2026-05-26 11:55:00,short,PE,24054.45,2026-05-26 11:55:00,24054.45,24039.95,5,9,PDH@24054.4,True,HIGH,ATM (delta ~0.5),24039.95,bearish,strong,27.06,type_B_swing,"{'tested': 'PDH', 'hl_diff': np.float64(10.75)}",structure_reversed_LH_confirmed,"{'hh_run': 0, 'has_lower_high': True, 'retrace_pct': np.float64(0.404), 'recent_high': np.float64(24089.55), 'pullback': np.float64(49.6), 'n_swings_high': 4}",swing_high_rejection
