,adj close,close,high,low,open,volume
2026-03-20 14:40:00,23098.25,23098.25,23154.80078125,23098.25,23151.400390625,0
2026-03-20 14:45:00,23104.349609375,23104.349609375,23113.400390625,23086.5,23099.400390625,0
2026-03-20 14:50:00,23086.599609375,23086.599609375,23107.55078125,23067.900390625,23105.75,0
2026-03-20 14:55:00,23090.5,23090.5,23096.150390625,23077.55078125,23086.650390625,0
2026-03-20 15:00:00,23139.400390625,23139.400390625,23177.44921875,23078.599609375,23091.30078125,0
2026-03-20 15:05:00,23124.44921875,23124.44921875,23156.05078125,23121.55078125,23139.25,0
2026-03-20 15:10:00,23106.849609375,23106.849609375,23132.80078125,23088.5,23124.349609375,0
2026-03-20 15:15:00,23092.5,23092.5,23107.30078125,23078.69921875,23106.25,0
2026-03-20 15:20:00,23112.900390625,23112.900390625,23139.0,23091.400390625,23091.650390625,0
2026-03-20 15:25:00,23134.650390625,23134.650390625,23139.80078125,23105.05078125,23112.75,0
2026-03-23 09:15:00,22687.44921875,22687.44921875,22838.349609375,22637.80078125,22837.19921875,0
2026-03-23 09:20:00,22702.599609375,22702.599609375,22737.099609375,22676.94921875,22686.25,0
2026-03-23 09:25:00,22704.400390625,22704.400390625,22728.25,22699.349609375,22701.599609375,0
2026-03-23 09:30:00,22713.05078125,22713.05078125,22721.849609375,22694.849609375,22702.150390625,0
2026-03-23 09:35:00,22715.30078125,22715.30078125,22742.80078125,22707.150390625,22712.44921875,0
2026-03-23 09:40:00,22706.400390625,22706.400390625,22716.69921875,22691.80078125,22714.650390625,0
2026-03-23 09:45:00,22663.0,22663.0,22706.650390625,22658.80078125,22706.099609375,0
2026-03-23 09:50:00,22629.05078125,22629.05078125,22665.05078125,22625.44921875,22662.05078125,0
2026-03-23 09:55:00,22597.5,22597.5,22634.349609375,22593.849609375,22628.55078125,0
2026-03-23 10:00:00,22616.099609375,22616.099609375,22618.0,22582.599609375,22597.44921875,0
2026-03-23 10:05:00,22605.650390625,22605.650390625,22633.05078125,22605.0,22615.19921875,0
2026-03-23 10:10:00,22572.30078125,22572.30078125,22609.19921875,22571.400390625,22607.099609375,0
2026-03-23 10:15:00,22554.5,22554.5,22587.5,22554.099609375,22571.94921875,0
2026-03-23 10:20:00,22541.599609375,22541.599609375,22559.150390625,22538.5,22554.30078125,0
2026-03-23 10:25:00,22531.0,22531.0,22559.599609375,22530.900390625,22541.19921875,0
2026-03-23 10:30:00,22537.75,22537.75,22554.05078125,22529.849609375,22530.599609375,0
2026-03-23 10:35:00,22557.94921875,22557.94921875,22581.5,22536.849609375,22538.19921875,0
2026-03-23 10:40:00,22548.099609375,22548.099609375,22558.349609375,22536.650390625,22558.349609375,0
2026-03-23 10:45:00,22547.55078125,22547.55078125,22550.25,22534.0,22548.19921875,0
2026-03-23 10:50:00,22527.099609375,22527.099609375,22545.75,22510.69921875,22545.75,0
2026-03-23 10:55:00,22531.849609375,22531.849609375,22536.75,22516.80078125,22528.94921875,0
2026-03-23 11:00:00,22533.150390625,22533.150390625,22533.400390625,22505.0,22531.19921875,0
2026-03-23 11:05:00,22560.349609375,22560.349609375,22583.650390625,22526.599609375,22531.94921875,0
2026-03-23 11:10:00,22554.150390625,22554.150390625,22562.44921875,22546.349609375,22560.80078125,0
2026-03-23 11:15:00,22534.349609375,22534.349609375,22554.599609375,22528.0,22554.599609375,0
2026-03-23 11:20:00,22548.0,22548.0,22556.599609375,22528.900390625,22534.25,0
2026-03-23 11:25:00,22559.150390625,22559.150390625,22561.44921875,22536.400390625,22547.599609375,0
2026-03-23 11:30:00,22531.30078125,22531.30078125,22571.599609375,22524.94921875,22557.849609375,0
2026-03-23 11:35:00,22539.599609375,22539.599609375,22542.349609375,22519.69921875,22531.75,0
2026-03-23 11:40:00,22520.150390625,22520.150390625,22557.44921875,22508.30078125,22539.19921875,0
2026-03-23 11:45:00,22532.25,22532.25,22534.5,22518.0,22518.0,0
2026-03-23 11:50:00,22552.75,22552.75,22563.55078125,22527.900390625,22533.150390625,0
2026-03-23 11:55:00,22554.650390625,22554.650390625,22564.0,22539.349609375,22555.400390625,0
2026-03-23 12:00:00,22546.55078125,22546.55078125,22561.150390625,22541.94921875,22556.05078125,0
2026-03-23 12:05:00,22547.75,22547.75,22554.099609375,22530.599609375,22545.69921875,0
2026-03-23 12:10:00,22535.349609375,22535.349609375,22562.349609375,22533.80078125,22551.25,0
2026-03-23 12:15:00,22528.44921875,22528.44921875,22535.55078125,22514.44921875,22534.25,0
2026-03-23 12:20:00,22489.55078125,22489.55078125,22527.30078125,22483.44921875,22527.30078125,0
2026-03-23 12:25:00,22511.94921875,22511.94921875,22515.05078125,22478.69921875,22487.55078125,0
2026-03-23 12:30:00,22518.849609375,22518.849609375,22519.099609375,22497.69921875,22514.599609375,0
2026-03-23 12:35:00,22524.900390625,22524.900390625,22551.5,22514.80078125,22517.69921875,0
2026-03-23 12:40:00,22535.650390625,22535.650390625,22540.599609375,22510.599609375,22524.650390625,0
2026-03-23 12:45:00,22543.30078125,22543.30078125,22555.900390625,22522.75,22534.69921875,0
2026-03-23 12:50:00,22504.25,22504.25,22543.349609375,22503.650390625,22542.44921875,0
2026-03-23 12:55:00,22500.05078125,22500.05078125,22505.5,22481.69921875,22504.19921875,0
2026-03-23 13:00:00,22480.900390625,22480.900390625,22499.55078125,22480.25,22499.55078125,0
2026-03-23 13:05:00,22489.05078125,22489.05078125,22508.25,22474.650390625,22480.150390625,0
2026-03-23 13:10:00,22489.099609375,22489.099609375,22493.150390625,22472.099609375,22488.900390625,0
2026-03-23 13:15:00,22494.05078125,22494.05078125,22512.55078125,22489.44921875,22489.69921875,0
2026-03-23 13:20:00,22501.849609375,22501.849609375,22514.5,22488.05078125,22493.75,0
2026-03-23 13:25:00,22487.05078125,22487.05078125,22512.05078125,22482.849609375,22501.25,0
2026-03-23 13:30:00,22517.25,22517.25,22525.44921875,22487.150390625,22487.599609375,0
2026-03-23 13:35:00,22518.05078125,22518.05078125,22529.0,22513.25,22518.05078125,0
2026-03-23 13:40:00,22561.69921875,22561.69921875,22567.349609375,22513.69921875,22517.349609375,0
2026-03-23 13:45:00,22598.94921875,22598.94921875,22601.25,22557.599609375,22558.94921875,0
2026-03-23 13:50:00,22601.349609375,22601.349609375,22629.75,22593.19921875,22597.94921875,0
2026-03-23 13:55:00,22599.650390625,22599.650390625,22620.55078125,22599.150390625,22602.0,0
2026-03-23 14:00:00,22644.75,22644.75,22655.400390625,22590.44921875,22598.849609375,0
2026-03-23 14:05:00,22627.44921875,22627.44921875,22661.150390625,22607.44921875,22645.69921875,0
2026-03-23 14:10:00,22618.69921875,22618.69921875,22643.349609375,22610.349609375,22627.80078125,0
2026-03-23 14:15:00,22641.599609375,22641.599609375,22652.650390625,22612.25,22619.650390625,0
2026-03-23 14:20:00,22625.55078125,22625.55078125,22656.44921875,22624.55078125,22641.349609375,0
2026-03-23 14:25:00,22611.19921875,22611.19921875,22633.69921875,22591.94921875,22624.900390625,0
2026-03-23 14:30:00,22526.80078125,22526.80078125,22617.400390625,22515.25,22610.55078125,0
2026-03-23 14:35:00,22564.05078125,22564.05078125,22591.94921875,22522.150390625,22524.80078125,0
2026-03-23 14:40:00,22599.099609375,22599.099609375,22599.099609375,22541.94921875,22561.05078125,0
2026-03-23 14:45:00,22596.75,22596.75,22603.400390625,22579.05078125,22596.94921875,0
2026-03-23 14:50:00,22613.849609375,22613.849609375,22646.55078125,22597.900390625,22597.900390625,0
2026-03-23 14:55:00,22614.5,22614.5,22617.400390625,22586.19921875,22612.69921875,0
2026-03-23 15:00:00,22503.900390625,22503.900390625,22614.75,22503.05078125,22614.75,0
2026-03-23 15:05:00,22523.849609375,22523.849609375,22531.849609375,22486.099609375,22503.55078125,0
2026-03-23 15:10:00,22509.25,22509.25,22542.44921875,22505.19921875,22523.25,0
2026-03-23 15:15:00,22485.19921875,22485.19921875,22510.69921875,22483.849609375,22509.55078125,0
2026-03-23 15:20:00,22492.400390625,22492.400390625,22495.849609375,22479.55078125,22484.25,0
2026-03-23 15:25:00,22492.650390625,22492.650390625,22505.349609375,22478.099609375,22492.0,0
2026-03-24 09:15:00,22785.150390625,22785.150390625,22897.650390625,22775.400390625,22854.05078125,0
2026-03-24 09:20:00,22816.69921875,22816.69921875,22817.0,22765.150390625,22789.80078125,0
2026-03-24 09:25:00,22839.900390625,22839.900390625,22849.25,22811.150390625,22815.80078125,0
2026-03-24 09:30:00,22815.19921875,22815.19921875,22852.400390625,22815.19921875,22839.599609375,0
2026-03-24 09:35:00,22764.30078125,22764.30078125,22827.900390625,22763.099609375,22815.599609375,0
2026-03-24 09:40:00,22744.80078125,22744.80078125,22783.099609375,22732.30078125,22764.30078125,0
2026-03-24 09:45:00,22718.900390625,22718.900390625,22748.099609375,22707.05078125,22747.30078125,0
2026-03-24 09:50:00,22730.69921875,22730.69921875,22737.150390625,22701.80078125,22718.75,0
2026-03-24 09:55:00,22754.19921875,22754.19921875,22773.650390625,22725.05078125,22729.900390625,0
2026-03-24 10:00:00,22705.599609375,22705.599609375,22756.650390625,22701.849609375,22753.900390625,0
2026-03-24 10:05:00,22685.150390625,22685.150390625,22719.44921875,22682.349609375,22705.69921875,0
2026-03-24 10:10:00,22708.099609375,22708.099609375,22714.849609375,22682.30078125,22684.5,0
2026-03-24 10:15:00,22731.69921875,22731.69921875,22748.5,22701.55078125,22706.94921875,0
2026-03-24 10:20:00,22762.150390625,22762.150390625,22766.80078125,22712.25,22731.400390625,0
2026-03-24 10:25:00,22737.900390625,22737.900390625,22765.80078125,22725.099609375,22763.099609375,0
2026-03-24 10:30:00,22667.75,22667.75,22738.900390625,22667.75,22738.19921875,0
2026-03-24 10:35:00,22631.80078125,22631.80078125,22667.69921875,22624.900390625,22665.599609375,0
2026-03-24 10:40:00,22667.900390625,22667.900390625,22680.650390625,22630.55078125,22631.599609375,0
2026-03-24 10:45:00,22692.0,22692.0,22723.5,22657.0,22667.55078125,0
2026-03-24 10:50:00,22667.25,22667.25,22707.69921875,22653.599609375,22691.900390625,0
2026-03-24 10:55:00,22639.69921875,22639.69921875,22674.25,22629.400390625,22667.80078125,0
2026-03-24 11:00:00,22678.80078125,22678.80078125,22682.0,22639.80078125,22639.80078125,0
2026-03-24 11:05:00,22680.900390625,22680.900390625,22689.099609375,22661.44921875,22679.75,0
2026-03-24 11:10:00,22698.25,22698.25,22711.05078125,22678.69921875,22680.099609375,0
2026-03-24 11:15:00,22730.44921875,22730.44921875,22732.349609375,22694.349609375,22699.400390625,0
