,open,high,low,close,volume
2026-05-05 12:36:00+05:30,23957.0,23973.19921875,23956.05078125,23957.94921875,0
2026-05-05 12:39:00+05:30,23958.400390625,23974.44921875,23957.75,23967.75,0
2026-05-05 12:42:00+05:30,23969.349609375,23969.349609375,23951.25,23952.849609375,0
2026-05-05 12:45:00+05:30,23952.55078125,23975.05078125,23952.55078125,23974.849609375,0
2026-05-05 12:48:00+05:30,23974.05078125,23988.0,23967.900390625,23986.0,0
2026-05-05 12:51:00+05:30,23986.599609375,23996.55078125,23979.55078125,23986.0,0
2026-05-05 12:54:00+05:30,23984.80078125,23991.69921875,23978.599609375,23991.69921875,0
2026-05-05 12:57:00+05:30,23990.900390625,24014.25,23990.650390625,24011.900390625,0
2026-05-05 13:00:00+05:30,24012.599609375,24025.849609375,24010.650390625,24019.80078125,0
2026-05-05 13:03:00+05:30,24019.69921875,24024.25,24012.69921875,24015.0,0
2026-05-05 13:06:00+05:30,24015.599609375,24070.94921875,24015.55078125,24067.650390625,0
2026-05-05 13:09:00+05:30,24067.849609375,24079.0,24063.0,24071.30078125,0
2026-05-05 13:12:00+05:30,24070.900390625,24073.900390625,24052.44921875,24068.80078125,0
2026-05-05 13:15:00+05:30,24067.349609375,24080.94921875,24040.44921875,24042.94921875,0
2026-05-05 13:18:00+05:30,24042.19921875,24056.5,24031.94921875,24045.25,0
2026-05-05 13:21:00+05:30,24045.94921875,24059.44921875,24045.75,24054.650390625,0
2026-05-05 13:24:00+05:30,24052.69921875,24055.099609375,24030.94921875,24040.900390625,0
2026-05-05 13:27:00+05:30,24040.099609375,24048.400390625,24030.599609375,24039.94921875,0
2026-05-05 13:30:00+05:30,24041.400390625,24041.599609375,24016.650390625,24021.30078125,0
2026-05-05 13:33:00+05:30,24020.30078125,24034.80078125,24017.400390625,24024.19921875,0
2026-05-05 13:36:00+05:30,24025.849609375,24047.55078125,24022.349609375,24038.25,0
2026-05-05 13:39:00+05:30,24037.150390625,24056.400390625,24032.69921875,24048.69921875,0
2026-05-05 13:42:00+05:30,24049.0,24056.69921875,24039.349609375,24050.44921875,0
2026-05-05 13:45:00+05:30,24051.150390625,24062.150390625,24037.80078125,24050.849609375,0
