,Close,High,Low,Open,Volume
2026-05-18 12:21:00+05:30,23521.55078125,23525.25,23518.44921875,23519.55078125,0
2026-05-18 12:22:00+05:30,23525.099609375,23528.849609375,23520.900390625,23521.55078125,0
2026-05-18 12:23:00+05:30,23523.05078125,23527.400390625,23521.25,23524.849609375,0
2026-05-18 12:24:00+05:30,23535.94921875,23537.150390625,23522.05078125,23523.05078125,0
2026-05-18 12:25:00+05:30,23546.0,23546.0,23536.0,23536.0,0
2026-05-18 12:26:00+05:30,23553.80078125,23555.400390625,23545.55078125,23546.19921875,0
2026-05-18 12:27:00+05:30,23552.0,23554.5,23547.650390625,23554.19921875,0
2026-05-18 12:28:00+05:30,23552.400390625,23558.150390625,23548.30078125,23551.900390625,0
2026-05-18 12:29:00+05:30,23553.44921875,23555.650390625,23551.0,23552.349609375,0
2026-05-18 12:30:00+05:30,23563.400390625,23563.400390625,23553.5,23553.5,0
2026-05-18 12:31:00+05:30,23570.099609375,23574.150390625,23563.44921875,23563.44921875,0
2026-05-18 12:32:00+05:30,23578.599609375,23581.0,23567.80078125,23570.349609375,0
2026-05-18 12:33:00+05:30,23579.349609375,23581.900390625,23577.69921875,23578.55078125,0
2026-05-18 12:34:00+05:30,23593.94921875,23599.25,23579.69921875,23579.80078125,0
2026-05-18 12:35:00+05:30,23601.349609375,23605.349609375,23591.69921875,23593.099609375,0
2026-05-18 12:36:00+05:30,23604.099609375,23608.75,23600.900390625,23601.80078125,0
2026-05-18 12:37:00+05:30,23603.099609375,23607.650390625,23602.44921875,23604.75,0
2026-05-18 12:38:00+05:30,23606.0,23606.5,23599.25,23602.599609375,0
2026-05-18 12:39:00+05:30,23604.400390625,23609.849609375,23602.75,23605.69921875,0
2026-05-18 12:40:00+05:30,23597.099609375,23605.0,23592.19921875,23604.25,0
2026-05-18 12:41:00+05:30,23598.44921875,23608.05078125,23597.0,23597.400390625,0
2026-05-18 12:42:00+05:30,23586.900390625,23598.94921875,23586.849609375,23598.400390625,0
2026-05-18 12:43:00+05:30,23581.5,23587.80078125,23580.150390625,23586.94921875,0
