date,week_high,week_low,week_close
2020-01-17,12389.0498046875,12278.75,12352.349609375
2020-01-24,12430.5,12087.900390625,12248.25
2020-01-31,12216.599609375,11945.849609375,11962.099609375
2020-02-07,12160.599609375,11614.5,12098.349609375
2020-02-14,12246.7001953125,11990.75,12113.4501953125
2020-02-21,12159.599609375,11908.0498046875,12080.849609375
2020-02-28,12012.5498046875,11175.0498046875,11201.75
2020-03-06,11433.0,10827.400390625,10989.4501953125
2020-03-13,10751.5498046875,8555.150390625,9955.2001953125
2020-03-20,9602.2001953125,7832.5498046875,8745.4501953125
2020-03-27,9038.900390625,7511.10009765625,8660.25
2020-04-03,8678.2998046875,8055.7998046875,8083.7998046875
2020-04-10,9131.7001953125,8360.9501953125,9111.900390625
2020-04-17,9324.0,8821.900390625,9266.75
2020-04-24,9390.849609375,8909.400390625,9154.400390625
2020-05-01,9889.0498046875,9250.349609375,9859.900390625
2020-05-08,9533.5,9116.5,9251.5
2020-05-15,9584.5,9043.9501953125,9136.849609375
2020-05-22,9178.5498046875,8806.75,9039.25
2020-05-29,9598.849609375,8996.650390625,9580.2998046875
2020-06-05,10177.7998046875,9706.9501953125,10142.150390625
2020-06-12,10328.5,9544.349609375,9972.900390625
2020-06-19,10272.400390625,9726.349609375,10244.400390625
2020-06-26,10553.150390625,10194.5,10383.0
2020-07-03,10631.2998046875,10223.599609375,10607.349609375
2020-07-10,10847.849609375,10676.5498046875,10768.0498046875
2020-07-17,10933.4501953125,10562.900390625,10901.7001953125
2020-07-24,11239.7998046875,10953.0,11194.150390625
2020-07-31,11341.400390625,11026.650390625,11073.4501953125
2020-08-07,11256.7998046875,10882.25,11214.0498046875
2020-08-14,11373.599609375,11111.4501953125,11178.400390625
2020-08-21,11460.349609375,11144.5,11371.599609375
2020-08-28,11686.0498046875,11410.650390625,11647.599609375
2020-09-04,11794.25,11303.650390625,11333.849609375
2020-09-11,11493.5,11185.150390625,11464.4501953125
2020-09-18,11618.099609375,11383.5498046875,11504.9501953125
2020-09-25,11535.25,10790.2001953125,11050.25
2020-10-02,11428.599609375,11099.849609375,11416.9501953125
2020-10-09,11938.599609375,11452.2998046875,11914.2001953125
2020-10-16,12025.4501953125,11661.2998046875,11762.4501953125
2020-10-23,12018.650390625,11775.75,11930.349609375
2020-10-30,11942.849609375,11535.4501953125,11642.400390625
2020-11-06,12280.400390625,11557.400390625,12263.5498046875
2020-11-13,12769.75,12367.349609375,12719.9501953125
2020-11-20,12963.0,12730.25,12859.0498046875
2020-11-27,13145.849609375,12790.400390625,12968.9501953125
2020-12-04,13280.0498046875,12962.7998046875,13258.5498046875
2020-12-11,13579.349609375,13241.9501953125,13513.849609375
2020-12-18,13773.25,13447.0498046875,13760.5498046875
2020-12-25,13777.5,13131.4501953125,13749.25
2021-01-01,14049.849609375,13811.5498046875,14018.5
2021-01-08,14367.2998046875,13953.75,14347.25
2021-01-15,14653.349609375,14357.849609375,14433.7001953125
2021-01-22,14753.5498046875,14222.7998046875,14371.900390625
2021-01-29,14491.099609375,13596.75,13634.599609375
2021-02-05,15014.650390625,13661.75,14924.25
2021-02-12,15257.099609375,14977.2001953125,15163.2998046875
2021-02-19,15431.75,14898.2001953125,14981.75
2021-02-26,15176.5,14467.75,14529.150390625
2021-03-05,15273.150390625,14638.5498046875,14938.099609375
2021-03-12,15336.2998046875,14919.900390625,15030.9501953125
2021-03-19,15051.599609375,14350.099609375,14744.0
2021-03-26,14878.599609375,14264.400390625,14507.2998046875
2021-04-02,14883.2001953125,14617.599609375,14867.349609375
2021-04-09,14984.150390625,14459.5,14834.849609375
2021-04-16,14697.7001953125,14248.7001953125,14617.849609375
2021-04-23,14526.9501953125,14151.400390625,14341.349609375
2021-04-30,15044.349609375,14421.2998046875,14631.099609375
2021-05-07,14863.0498046875,14416.25,14823.150390625
2021-05-14,14966.900390625,14591.900390625,14677.7998046875
2021-05-21,15190.0,14725.349609375,15175.2998046875
2021-05-28,15469.650390625,15145.4501953125,15435.650390625
2021-06-04,15733.599609375,15374.0,15670.25
2021-06-11,15835.5498046875,15566.900390625,15799.349609375
2021-06-18,15901.599609375,15450.900390625,15683.349609375
2021-06-25,15895.75,15505.650390625,15860.349609375
2021-07-02,15915.650390625,15635.9501953125,15722.2001953125
2021-07-09,15914.2001953125,15632.75,15689.7998046875
2021-07-16,15962.25,15644.75,15923.400390625
2021-07-23,15899.7998046875,15578.5498046875,15856.0498046875
2021-07-30,15893.349609375,15513.4501953125,15763.0498046875
2021-08-06,16349.4501953125,15834.650390625,16238.2001953125
2021-08-13,16543.599609375,16162.5498046875,16529.099609375
2021-08-20,16701.849609375,16376.0498046875,16450.5
